environment,team,severity,average in days (including all open findings),average in days for findings opened within 2022-03-24T06:44-2022-06-22T06:44,maximum (all opened findings),maximum in days for findings opened within 2022-03-24T06:44-2022-06-22T06:44,amount of findings (all open),amount of findings in days for findings opened within 2022-03-24T06:44-2022-06-22T06:44
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","Critical",1,1,1,1,57,57
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","High",1,1,1,1,136,136
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","Medium",1,1,1,1,128,128
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","Low",1,1,1,1,26,26
"cluster/minikube","team/operations","Medium",2,2,2,2,8,8
"cluster/production","team/fellowship-of-the-ring-t3","Critical",4,4,5,5,14,14
"cluster/production","team/fellowship-of-the-ring-t3","High",4,4,6,6,39,39
"cluster/production","team/fellowship-of-the-ring-t3","Medium",4,4,5,5,80,80
"cluster/production","team/fellowship-of-the-ring-t3","Low",5,5,5,5,2,2
"cluster/test","team/security","Medium",3,3,10,10,5,5
"cluster/test-cluster","team/operations-test","Medium",5,5,19,19,18,18
"cluster/test-cluster","team/project-test","High",16,16,19,19,6,6
"cluster/test-cluster","team/project-test","Medium",15,15,19,19,18,18
"cluster/test-cluster","team/security-test","Critical",0,0,0,0,19,19
"cluster/test-cluster","team/security-test","High",6,6,19,19,109,109
"cluster/test-cluster","team/security-test","Medium",7,7,19,19,85,85
"cluster/test-cluster","team/security-test","Low",2,2,19,19,8,8
"cluster/test-cluster","team/test","Medium",2,2,6,6,10,10
"cluster/test-cluster","team/test-1970","Medium",19,19,19,19,2,2
